144.416	92.4299	33.1537
143.13	90.1602	32.3191
141.845	87.8905	31.4845
140.559	85.6207	30.6498
139.273	83.351	29.8152
137.987	81.0813	28.9806
136.701	78.8116	28.1459
135.415	76.5419	27.3113
134.129	74.2721	26.4767
132.843	72.0024	25.642
131.557	69.7327	24.8074
130.272	67.463	23.9728
128.986	65.1933	23.1382
127.7	62.9235	22.3035
126.414	60.6538	21.4689
125.128	58.3841	20.6343
123.842	56.1144	19.7996
122.556	53.8447	18.965
121.27	51.5749	18.1304
119.984	49.3052	17.2957
118.698	47.0355	16.4611
117.413	44.7658	15.6265
116.127	42.4961	14.7919
114.841	40.2264	13.9572
113.555	37.9566	13.1226
112.269	35.6869	12.288
110.983	33.4172	11.4533
109.697	31.1475	10.6187
108.411	28.8778	9.78408
107.125	26.608	8.94945
105.84	24.3383	8.11483
104.554	22.0686	7.2802
103.268	19.7989	6.44557
101.982	17.5292	5.61094
100.696	15.2594	4.77631
99.4101	12.9897	3.94168
98.1242	10.72	3.10705
96.8383	8.45028	2.27242
95.5524	6.18056	1.43779
94.2665	3.91084	0.60316
92.9806	1.64112	-0.23147
91.6947	-0.628601	-1.0661
90.4088	-2.89832	-1.90073
89.1229	-5.16804	-2.73536
87.837	-7.43776	-3.56999
86.5511	-9.70748	-4.40462
85.2652	-11.9772	-5.23925
83.9793	-14.2469	-6.07388
82.6934	-16.5166	-6.90851
81.4075	-18.7864	-7.74313
80.1216	-21.0561	-8.57776
78.8358	-23.3258	-9.41239
77.5499	-25.5955	-10.247
76.264	-27.8652	-11.0817
74.9781	-30.135	-11.9163
73.6922	-32.4047	-12.7509
72.4063	-34.6744	-13.5855
71.1204	-36.9441	-14.4202
69.8345	-39.2138	-15.2548
68.5486	-41.4836	-16.0894
67.2627	-43.7533	-16.9241
65.9768	-46.023	-17.7587
64.6909	-48.2927	-18.5933
63.405	-50.5624	-19.4279
62.1191	-52.8321	-20.2626
60.8332	-55.1019	-21.0972
59.5473	-57.3716	-21.9318
58.2614	-59.6413	-22.7665
56.9755	-61.911	-23.6011
55.6896	-64.1807	-24.4357
54.4037	-66.4505	-25.2704
53.1179	-68.7202	-26.105
51.832	-70.9899	-26.9396
50.5461	-73.2596	-27.7742
49.2602	-75.5293	-28.6089
47.9743	-77.7991	-29.4435
46.6884	-80.0688	-30.2781
45.4025	-82.3385	-31.1128
44.1166	-84.6082	-31.9474
42.8307	-86.8779	-32.782
41.5448	-89.1477	-33.6166
40.2589	-91.4174	-34.4513
38.973	-93.6871	-35.2859
