-203	0	270
-193	119.415	270
-183	143.934	270
-173	162.095	270
-163	176.776	270
-153	189.124	270
-143	199.739	270
-133	210.96	268.155
-123	224.885	261.928
-113	236.174	256.451
-103	245.575	251.466
-93	253.508	246.831
-83	260.232	242.455
-73	265.922	238.277
-63	270.701	234.253
-53	274.655	230.348
-43	278.407	225.894
-33	280.367	222.758
-23	284.381	216.479
-13	285.595	212.818
-3	287.155	208.029
11.057	286.803	203.029
25.0298	285.228	198.029
38.8122	282.44	193.029
52.2991	278.462	188.029
52.636	278.346	187.902
66.2463	285.381	182.902
80.4179	291.202	177.902
95.043	295.767	172.902
110.01	299.039	167.902
125.206	300.994	162.902
140.514	301.618	157.902
155.818	300.905	152.902
171.002	298.86	147.902
185.949	295.501	142.902
200.547	290.851	137.902
214.685	284.947	132.902
228.254	277.832	127.902
241.151	269.563	122.902
253.278	260.201	117.902
264.544	249.817	112.902
274.861	238.491	107.902
284.152	226.309	102.902
292.346	213.364	97.9019
299.381	199.754	92.9019
300.644	196.961	91.9019
306.837	196.896	86.9019
313.002	196.292	81.9019
319.09	195.153	76.9019
325.056	193.487	71.9019
330.854	191.308	66.9019
336.44	188.632	61.9019
341.771	185.479	56.9019
346.808	181.874	51.9019
351.511	177.843	46.9019
355.845	173.418	41.9019
359.776	168.632	36.9019
363.276	163.521	31.9019
366.317	158.125	26.9019
368.875	152.484	21.9019
370.933	146.642	16.9019
372.474	140.643	11.9019
373.485	134.532	6.90195
373.961	128.356	1.90195
374	126	0
363	57.5191	-23.8978
353	33.1473	-33.8597
343	10.4442	-34.8211
333	10	-43.687
323	10	-50.8701
313	10	-57.1384
303	10	-62.8367
293	10	-68.1465
283	10	-73.1783
273	10	-78.0055
263	10	-82.6807
253	10	-87.2439
243	10	-90
233	10	-90
223	10	-90
213	10	-90
203	10	-90
